Anio;Punto_de_muestreo;Punto;Rio;OD_porcentaje;pH;DQO;CE;SST;;;0;1;2;3;4;5;6;7;8
2012;Entrada al perimetro urbano (Puente Azul);Entrada;Aguacatal;117,71;764;2230;20500;800;;;Anio;Punto_de_muestreo;Punto;Rio;OD_porcentaje;pH;DQO;CE;SST
2012;Salida(El Ancla, antes de desembocar el Rio Cali);Salida;Aguacatal;124,15;738;2880;41200;2700;;;2012;Entrada al perimetro urbano (Puente Azul);Entrada;Aguacatal;117,71;764;2230;20500;800
2012;Entrada al perimetro urbano (Bocatoma Acueducto San Antonio);Entrada;Cali;63,44;720;9300;9900;280;;;;;;;;;;;
2012;Salida del perimetro urbano(200 metros antes de desembocadura al Rio Cauca);Salida;Cali;55,38;673;42500;40600;19300;;;;;;;;;;;
2012;Entrada al perimetro urbano (Colegio Ideas);Entrada;Cañaveralejo;86,59;732;2590;18600;500;;pH;DQO;CE;SST;;;;;;
2012;Salida (Antes de desemboocar al Canal Sur, Cra 50 Cll 17);Salida;Cañaveralejo;17,42;631;8880;42600;5050;;99,9;42500;56900;19300;;;;;;
2012;Entrada al perimetro urbano (Finca Pasto Forraje via la Buitrera);Entrada;Lili;60,99;570;21270;33900;1200;;3,76;400;3690;240;;;;;;
2012;Salida del perimetro urbano(Puente via Panamericana Cali-Popayan);Salida;Lili;66,69;649;11640;22500;2440;;8,9638;6257,82;25431,8;2151,28;;;;;;
2012;Entrada al perimetro urbano (Via a La Buitrera, puente Base Militar);Entrada;Melendez;69,32;710;19000;7180;640;;;;;;;;;;;
2012;Salida del perimetro urbano (Aguas del Sur - PTAR Caney);Salida;Melendez;53,82;712;28500;11450;680;;;;;;;;;;;
2012;Entrada al perimetro urbano(Puente Sede DeporCali);Entrada;Pance;97,8;696;12110;3690;240;;;;;;;;;;;
2012;Salida ( Puente La Viga, Via Cañas Gordas);Salida;Pance;98,02;608;13010;3800;1040;;;;;;;;;;;
2013;Entrada al perimetro urbano (Puente Azul);Entrada;Aguacatal;;820;3000;26000;1414;;;;;;;;;;;
2013;Intermedio (Despues de la Quebrada el Chocho  En el Sifon);Intermedio;Aguacatal;;793;7872;40200;2066;;;;;;;;;;;
2013;Salida(El Ancla, antes de desembocar el Rio Cali);Salida;Aguacatal;;789;6848;40100;1540;;;;;;;;;;;
2013;Entrada al perimetro urbano (Bocatoma Acueducto San Antonio);Entrada;Cali;;729;703;13100;743;;;;;;;;;;;
2013;Intermedio (Despues de la entrega del Rio Aguacatal, Frente al Museo La Tertulia);Intermedio;Cali;;762;2510;22200;1622;;;;;;;;;;;
2013;Intermedio (Frente a la Clinica Los Remedios);Intermedio;Cali;;772;1807;22900;1755;;;;;;;;;;;
2013;Intermedio (Frente al barrio La Isla, Puente Cancha Vivero);Intermedio;Cali;;790;2410;25000;2050;;;;;;;;;;;
2013;Intermedio (Frente a Cartones America (Cl, 70  Cr, 2A);Intermedio;Cali;;763;2108;30700;1346;;;;;;;;;;;
2013;Salida del perimetro urbano(200 metros antes de desembocadura al Rio Cauca);Salida;Cali;;750;5152;30500;493;;;;;;;;;;;
2013;Entrada al perimetro urbano (Colegio Ideas);Entrada;Cañaveralejo;;731;2500;22700;680;;;;;;;;;;;
2013;Intermedio  (Plaza de Toros);Intermedio;Cañaveralejo;;772;6592;26200;2860;;;;;;;;;;;
2013;Salida (Antes de desemboocar al Canal Sur, Cra 50 Cll 17);Salida;Cañaveralejo;;682;16768;46600;11580;;;;;;;;;;;
2013;Entrada al perimetro urbano (Finca Pasto Forraje via la Buitrera);Entrada;Lili;;376;703;43300;3291;;;;;;;;;;;
2013;Intermedio (Cl 16-Cra-102, 100m despues de la descarga PSMV-LV31);Intermedio;Lili;;581;602;34700;2600;;;;;;;;;;;
2013;Salida del perimetro urbano(Puente via Panamericana Cali-Popayan);Salida;Lili;;665;1104;24700;887;;;;;;;;;;;
2013;Entrada al perimetro urbano (Via a La Buitrera, puente Base Militar);Entrada;Melendez;;705;400;9520;612;;;;;;;;;;;
2013;Intermedio (Pasoancho, Cra 80 Con Cll13);Intermedio;Melendez;;689;1100;10440;2313;;;;;;;;;;;
2013;Intermedio  (Av Simon Bolivar, Cra 80 Simon Bolivar);Intermedio;Melendez;;693;2100;14830;883;;;;;;;;;;;
2013;Salida del perimetro urbano (Aguas del Sur - PTAR Caney);Salida;Melendez;;711;2700;15830;893;;;;;;;;;;;
2013;Entrada al perimetro urbano(Puente Sede DeporCali);Entrada;Pance;;760;800;4190;926;;;;;;;;;;;
2013;Salida ( Puente La Viga, Via Cañas Gordas);Salida;Pance;;770;1700;4860;423;;;;;;;;;;;
2014;Entrada al perimetro urbano (Puente Azul);Entrada;Aguacatal;;725;2153;26100;400;;;;;;;;;;;
2014;Intermedio (Despues de la Quebrada el Chocho  En el Sifon);Intermedio;Aguacatal;;750;2549;56900;1233;;;;;;;;;;;
2014;Salida(El Ancla, antes de desembocar el Rio Cali);Salida;Aguacatal;;760;2328;55700;1000;;;;;;;;;;;
2014;Entrada al perimetro urbano (Bocatoma Acueducto San Antonio);Entrada;Cali;;745;1486;9850;617;;;;;;;;;;;
2014;Intermedio (Despues de la entrega del Rio Aguacatal, Frente al Museo La Tertulia);Intermedio;Cali;;705;2426;34200;875;;;;;;;;;;;
2014;Intermedio (Frente a la Clinica Los Remedios);Intermedio;Cali;;799;2043;29600;2041;;;;;;;;;;;
2014;Intermedio (Frente al barrio La Isla, Puente Cancha Vivero);Intermedio;Cali;;864;3273;16730;3000;;;;;;;;;;;
2014;Intermedio (Frente a Cartones America (Cl, 70  Cr, 2A);Intermedio;Cali;;851;3955;28900;950;;;;;;;;;;;
2014;Salida del perimetro urbano(200 metros antes de desembocadura al Rio Cauca);Salida;Cali;;721;8790;37400;2229;;;;;;;;;;;
2014;Entrada al perimetro urbano (Colegio Ideas);Entrada;Cañaveralejo;;729;2315;20500;617;;;;;;;;;;;
2014;Intermedio  (Plaza de Toros);Intermedio;Cañaveralejo;;714;2633;23600;1233;;;;;;;;;;;
2014;Salida (Antes de desemboocar al Canal Sur, Cra 50 Cll 17);Salida;Cañaveralejo;;642;24309;55900;13833;;;;;;;;;;;
2014;Entrada al perimetro urbano (Finca Pasto Forraje via la Buitrera);Entrada;Lili;;395;1988;35700;1221;;;;;;;;;;;
2014;Intermedio (Cl 16-Cra-102, 100m despues de la descarga PSMV-LV31);Intermedio;Lili;;612;2066;28400;617;;;;;;;;;;;
2014;Salida del perimetro urbano(Puente via Panamericana Cali-Popayan);Salida;Lili;;687;3947;21400;617;;;;;;;;;;;
2014;Entrada al perimetro urbano (Via a La Buitrera, puente Base Militar);Entrada;Melendez;;824;1759;13650;617;;;;;;;;;;;
2014;Intermedio (Pasoancho, Cra 80 Con Cll13);Intermedio;Melendez;;9990;1482;12570;617;;;;;;;;;;;
